face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
27374.93,1720.0,8.798646,14870.0,1.0,77.27734,1428.9961,643.5703,4641.254,4
27386.98,1722.0,13.367174,14870.0,10.0,77.28125,1429.0039,693.1055,4591.707,4
27380.8,1721.0,16.227698,14934.0,3.0,69.78125,1386.2344,728.4727,4606.609,4
27405.31,1722.0,21.73175,14934.0,4.0,69.79297,1386.3047,695.1055,4639.895,4
27381.02,1721.0,19.59288,14870.0,3.0,69.79297,1386.7227,614.668,4719.914,4
27380.27,1723.0,8.868243,14838.0,3.0,69.79688,1386.9805,596.0586,4738.262,4
27386.36,1723.0,12.99915,14838.0,13.0,69.79688,1386.9805,623.6797,4710.641,4
27384.29,1723.0,7.166948,14806.0,4.0,69.80469,1387.5195,638.8945,4694.879,4
27373.04,1721.0,6.492411,14742.0,2.0,69.8125,1387.6211,644.5352,4689.129,4
27377.95,1721.0,6.481481,14742.0,2.0,69.8125,1387.6094,659.7578,4673.918,4
27377.83,1721.0,5.817875,14774.0,4.0,69.8125,1387.6094,687.3633,4646.312,4
27371.01,1721.0,7.021997,14806.0,2.0,69.83594,1405.1953,689.3281,4626.738,4
27376.3,1721.0,5.837563,14774.0,2.0,69.83594,1405.1953,656.707,4659.359,4
27378.78,1722.0,5.907173,14806.0,3.0,69.83594,1405.3242,660.9727,4654.965,4
27364.17,1722.0,5.827703,14806.0,4.0,69.83594,1405.3242,682.2969,4633.641,4
27393.29,1723.0,16.83587,14806.0,13.0,69.84375,1405.4766,664.9492,4650.828,4
27378.2,1721.0,14.871795,14806.0,6.0,69.84375,1421.0898,658.457,4641.707,4
27377.47,1721.0,7.19729,14806.0,6.0,69.91797,1442.7578,645.2852,4633.137,4
27387.14,1718.0,12.082262,14806.0,4.0,69.91797,1498.0547,568.9375,4654.188,4
27390.68,1718.0,16.79587,14774.0,3.0,70.05078,1532.2578,464.2695,4724.52,4
27385.35,1725.0,24.91103,14838.0,3.0,70.05078,1542.2305,338.5469,4840.27,4
27423.52,1725.0,6.186441,14806.0,3.0,70.05078,1548.4688,325.5391,4847.039,4
27379.82,1726.0,5.485232,14806.0,2.0,70.05078,1548.4062,337.2383,4835.402,4
27524.66,1725.0,4.733728,14806.0,3.0,70.05078,1548.4062,340.6914,4831.949,4
27623.05,1726.0,16.440678,14838.0,5.0,70.08203,1548.3984,337.1992,4835.418,4
27372.86,1725.0,8.883249,14774.0,2.0,70.08984,1548.4102,325.2383,4847.359,4
27371.87,1725.0,17.9966,14806.0,2.0,70.08984,1548.4102,266.2188,4906.379,4
27378.15,1725.0,7.627829,14838.0,3.0,70.09766,1548.6914,237.0859,4935.223,4
27490.21,1731.0,10.092515,14870.0,3.0,54.28125,1520.7461,338.332,4877.738,4
27417.22,1726.0,26.38655,14902.0,11.0,54.28125,1520.8789,380.4609,4835.477,4
27386.37,1725.0,28.72697,14870.0,3.0,54.28125,1520.8633,380.8359,4835.117,4
27451.28,1725.0,18.19728,14870.0,5.0,54.28125,1520.8828,352.9766,4862.957,4
27639.77,1727.0,18.33616,14870.0,7.0,54.30078,1520.9062,379.0664,4836.824,4
27422.56,1727.0,12.711864,14870.0,4.0,54.30469,1520.9961,382.5039,4833.293,4
27640.87,1726.0,16.369805,14870.0,4.0,54.30469,1521.0,436.8125,4778.98,4
27380.46,1725.0,7.529611,14870.0,2.0,54.30469,1521.9531,570.0898,4644.75,4
27385.75,1725.0,5.692438,14870.0,2.0,54.30469,1521.9531,573.3672,4641.473,4
27385.75,1725.0,4.414261,14870.0,2.0,54.3125,1521.9531,569.4805,4645.352,4
27370.77,1725.0,4.688832,14870.0,2.0,54.42188,1521.9961,584.043,4630.637,4
27414.27,1725.0,5.7676,14838.0,4.0,54.42188,1522.0039,568.7422,4645.93,4
27635.46,1726.0,12.977099,14870.0,5.0,54.42188,1522.0039,558.9219,4655.75,4
27376.03,1726.0,7.62066,14870.0,2.0,54.42188,1522.0039,581.9102,4632.762,4
